# 1D Sod shock tube solution
# scheme = hybrid
# nsteps = 1099
# time =     0.2500000000
x,rho,u,p,E
    0.06300000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.06400000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.06500000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.06600000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.06700000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.06800000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.06900000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.07000000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.07100000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.07200000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.07300000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.07400000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.07500000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.07600000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.07700000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.07800000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.07900000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.08000000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.08100000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.08200000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.08300000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.08400000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.08500000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.08600000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.08700000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
